Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918224040264.1;P.S.: SAN ILDEFONSO, 0003 MADRID;REPROGRAMAR;241;3
918224030070.1;P.S.: ASCENSION BIELSA, 15 MADRID;EJECUTADO;187;5
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;165;
918224090053.4;P.S.: PUERTA TOLEDO MERCAMADRID, 2 MADRID;EJECUTADO;106;
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;104;1
918221060357.1;P.S.: DE MORATALAZ, 21 MADRID;REPROGRAMAR;79;14
918224020192.1;P.S.: UZP0103 ENSANCHE VALLECAS, 270 MADRID;REPROGRAMAR;78;6
918224110188.1;P.S.: PUERTO DE CANFRANC, 7 MADRID;REPROGRAMAR;60;
918223070303.1;P.S.: UZP0202 LOS CERROS, 342 MADRID;REPROGRAMADO;56;2
918224030385.1;P.S.: A3, 0 MADRID;REPROGRAMAR;56;13
918225010417.1;P.S.: TANTALO, 9 MADRID;REPROGRAMAR;51;3
918224060304.1;P.S.: SAN DIEGO, 45 MADRID;REPROGRAMAR;51;7
918224030113.1;P.S.: REAL, 40 MADRID;REPROGRAMAR;49;
918223120100.1;P.S.: MOSCARETA, 6 MADRID;EJECUTADO;49;2
918124110056.1;P.S.: AMOR DE DIOS, 6 MADRID;EJECUTADO;48;
918224050026.1;P.S.: DUQUE DE RIVAS, 0002 MADRID;REPROGRAMADO;46;12
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;45;4
918223100278.1;P.S.: TOMAS BRETON, 57 MADRID;REPROGRAMAR;41;8
918224050257.1;P.S.: PROV LOS BERROCALES 81, 10 MADRID;REPROGRAMADO;39;4
918124100405.1;P.S.: CRISTINO MARTOS, 4 MADRID;EJECUTADO;38;1
918224110241.1;P.S.: ENRIQUE GRANADOS, 0006 MADRID;EJECUTADO;36;
918224060179.1;P.S.: ENRIQUE SIMONIS, 16 MADRID;EJECUTADO;36;1
918224090415.1;P.S.: POZO DEL TIO RAIMUNDO, 11 MADRID;REPROGRAMAR;35;8
918223110135.1;P.S.: LARRA, 0009 MADRID;REPROGRAMAR;35;3
918222120366.1;P.S.: VICALVARO A SANTA EUGENIA, 1600 MADRID;REPROGRAMAR;34;2
918224090251.1;P.S.: ISLAS VISAYAS, 25 MADRID;REPROGRAMAR;31;11
918224050074.1;P.S.: AURORA IGLESIAS, 13 MADRID;REPROGRAMADO;31;9
918124040320.2;P.S.: CRISTINO MARTOS, 4 MADRID;EJECUTADO;27;6
918124040320.1;P.S.: CRISTINO MARTOS, 4 MADRID;EJECUTADO;27;6
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;REPROGRAMAR;26;4
918225020200.1;P.S.: ALBUFERA, 248 MADRID;REPROGRAMAR;24;
918224050192.1;P.S.: PROV LOS BERROCALES 67, 39 MADRID;REPROGRAMADO;24;2
918224050199.1;P.S.: PROV AHIJONES-BERROCALES2, 218 MADRID;EJECUTADO;24;9
918225010193.1;P.S.: PARQUE, MADRID;REPROGRAMAR;23;1
918224100116.1;P.S.: GALLEGOS, 76 MADRID;EJECUTADO;23;
918224060069.1;P.S.: COCHERON DE LA VILLA, 15 MADRID;REPROGRAMADO;23;2
918224120027.1;P.S.: ROBLES, 3 MADRID;REPROGRAMAR;22;
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1
918222030371.9;P.S.: CORREGIDOR LICENCIADO ANTO 0 MADRID;EJECUTADO;21;
918225030290.1;P.S.: ANTONIO LOPEZ, 244 MADRID;REPROGRAMAR;21;5
918225030275.1;P.S.: EXTREMADURA, 0006 MADRID;REPROGRAMAR;21;
918225020197.1;P.S.: PABLO NERUDA, 91 MADRID;REPROGRAMAR;21;
918225010147.1;P.S.: RAYO VALLECANO DE MADRID, 79 MADRID;EJECUTADO;21;3
918224050307.1;P.S.: VALDECULEBRAS, 85 MADRID;EJECUTADO;21;3
918224040382.1;P.S.: SIERRA DE CONTRAVIESA, 0043 MADRID;REPROGRAMAR;21;12
918222030371.1;P.S.: CORREGIDOR LICENCIADO ANTO 0 MADRID;EJECUTADO;21;
918222030443.1;P.S.: , MADRID;REPROGRAMAR;21;12
918224090326.1;P.S.: PROV LOS BERROCALES 71, 39 MADRID;PROGRAMADO;20;7
918224090170.1;P.S.: BRUNO ABUNDEZ, 19 MADRID;REPROGRAMADO;20;2
918224080152.1;P.S.: GRAN VIA, 0052 MADRID;REPROGRAMADO;20;3
918224110122.9;P.S.: ABADA, 6 MADRID;EJECUTADO;19;
918224100397.1;P.S.: ESMALTINA, 14 MADRID;EJECUTADO;19;9
918224110122.1;P.S.: ABADA, 6 MADRID;EJECUTADO;19;
918224030165.2;P.S.: FERROCARRIL DEL TAJUÑA, 10 MADRID;REPROGRAMADO;19;1
918223040369.1;P.S.: FERNANDEZ SHAW, 9 MADRID;REPROGRAMAR;19;3
918224080117.1;P.S.: JOSE ESCOBAR Y SALIENTE, 80 MADRID;REPROGRAMADO;18;2
918224100149.1;P.S.: LOS CAVILAS, 22 MADRID;REPROGRAMADO;18;2
918122010441.2;P.S.: DESAMPARADOS, 15 MADRID;PROGRAMADO;18;8
918222040071.1;P.S.: MIGUEL DELIBES, 46 MADRID;EJECUTADO;18;11
918224090322.1;P.S.: BARCO SINAIA, 21 MADRID;EJECUTADO;16;4
918224090399.1;P.S.: PROV LOS BERROCALES 68, 25 MADRID;PROGRAMADO;15;1
918223090178.1;P.S.: SIERRA DE PALOMERAS, 32 MADRID;REPROGRAMADO;15;11
918224050363.1;P.S.: PERALES, 11 MADRID;EJECUTABLE;14;3
918221040344.1;P.S.: ARROYO DEL CAÑAVERAL, 75 MADRID;EJECUTADO;14;5
918224080168.1;P.S.: EXTREMADURA, 93 MADRID;EJECUTADO;11;
918222100464.9;P.S.: CASA DE TILLY, 33 MADRID;EJECUTABLE;10;18
918222100464.2;P.S.: CASA DE TILLY, 33 MADRID;EJECUTABLE;10;18
918222100464.1;P.S.: CASA DE TILLY, 33 MADRID;PROGRAMADO;10;18
918224060090.1;P.S.: RONDA DEL SUR, 000 MADRID;EJECUTADO;9;
918224110376.1;P.S.: CIUDAD DE BARCELONA, 0122 MADRID;EJECUTABLE;8;2
918224120302.1;P.S.: BARIO, 2 MADRID;EJECUTADO;7;1
918224120137.1;P.S.: MANUEL NOGUEIRO, 3 MADRID;PROGRAMADO;7;
918225020360.1;P.S.: CASTELLANA, 29 MADRID;PROGRAMADO;6;
918225030015.1;P.S.: PALOMERAS, 19 MADRID;PROGRAMADO;6;2
918223090150.1;P.S.: JUAN DE VERA, 13 MADRID;PROGRAMADO;6;4
918224120158.1;P.S.: VILLALCON, 3 MADRID;PROGRAMADO;6;4
918224040227.1;P.S.: ZAZUAR, 15 MADRID;PROGRAMADO;6;1
