Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918224040264.1;P.S.: SAN ILDEFONSO, 0003 MADRID;REPROGRAMAR;303;3
918224030070.1;P.S.: ASCENSION BIELSA, 15 MADRID;EJECUTADO;187;5
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMADO;166;1
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;165;
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;107;5
918223040369.1;P.S.: FERNANDEZ SHAW, 9 MADRID;REPROGRAMAR;81;3
918224090399.1;P.S.: PROV LOS BERROCALES 68, 25 MADRID;REPROGRAMAR;77;1
918225030015.1;P.S.: PALOMERAS, 19 MADRID;REPROGRAMAR;68;3
918224040227.1;P.S.: ZAZUAR, 15 MADRID;REPROGRAMAR;68;1
918224110294.1;P.S.: PUENTELARRA, 0014 MADRID;REPROGRAMAR;63;2
918223010355.1;P.S.: PUERTO DE MAGDALENA, 9 MADRID;REPROGRAMAR;58;12
918222080101.1;P.S.: SIERRA ARLA, 5 MADRID;REPROGRAMADO;58;4
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;REPROGRAMAR;49;4
918224090340.2;P.S.: CERRO DEL MURMULLO, 63 MADRID;EJECUTABLE;48;4
918224090340.1;P.S.: CERRO DEL MURMULLO, 63 MADRID;EJECUTABLE;48;4
918124110056.1;P.S.: AMOR DE DIOS, 6 MADRID;EJECUTADO;48;1
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;47;5
918221070021.1;P.S.: ALBUFERA, 319 MADRID;EJECUTADO;43;15
918224060020.1;P.S.: EL REAL DE SAN VICENTE, 27 MADRID;REPROGRAMAR;40;4
918224090326.1;P.S.: PROV LOS BERROCALES 71, 39 MADRID;REPROGRAMAR;39;9
918225020202.1;P.S.: CONCEJAL VICTORINO GRANIZ, 143 MADRID;REPROGRAMADO;38;1
918222060366.9;P.S.: PRECIADOS, 28 MADRID;EJECUTABLE;38;4
