Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;EJECUTADO;28;26
918123090178.1;P.S.: MADRAZO, 9 MADRID;EJECUTADO;32;16
918124110056.1;P.S.: AMOR DE DIOS, 6 MADRID;EJECUTADO;48;2
918124110249.1;P.S.: RUIZ DE ALARCON, 5 MADRID;REPROGRAMADO;9;2
918221070021.1;P.S.: ALBUFERA, 319 MADRID;EJECUTADO;66;19
918221070082.1;P.S.: CARIDAD, 28 MADRID;REPROGRAMADO;18;3
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;189;1
918222030441.1;P.S.: SANTA JULIA, 46 MADRID;REPROGRAMAR;17;
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;165;
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;70;6
918223020629.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMAR;11;7
918223030202.1;P.S.: SECO, 13 MADRID;REPROGRAMADO;56;
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;REPROGRAMAR;8;3
918223090047.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMAR;16;2
918223090096.1;P.S.: JUANA DOÑA, 5 MADRID;REPROGRAMADO;6;9
918223100217.1;P.S.: ABTAO, 48 MADRID;REPROGRAMAR;0;8
918223100278.1;P.S.: TOMAS BRETON, 57 MADRID;EJECUTADO;21;11
918223110096.1;P.S.: TOMAS BRETON, 57 MADRID;REPROGRAMADO;26;5
918224010020.1;P.S.: CAVA ALTA, 36 MADRID;REPROGRAMADO;21;8
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1
918224020465.1;P.S.: VALERIA, 7 MADRID;REPROGRAMAR;1;14
918224030070.1;P.S.: ASCENSION BIELSA, 15 MADRID;EJECUTADO;187;5
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;EJECUTADO;49;5
918224040227.1;P.S.: ZAZUAR, 15 MADRID;REPROGRAMAR;91;1
918224040269.1;P.S.: PEDRAFITA DO CEBREIRO, 1 MADRID;REPROGRAMAR;48;2
918224040394.1;P.S.: BOYER, 18 MADRID;REPROGRAMADO;0;4
918224050298.1;P.S.: PROV AHIJONES-BERROCALES5, 62 MADRID;EJECUTADO;48;5
918224060105.1;P.S.: JUAN ANTONIO BARDEM, 19 MADRID;EJECUTADO;32;9
918224060250.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMAR;6;2
918224060351.1;P.S.: ANDALUCIA, 0012 MADRID;REPROGRAMAR;36;13
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;130;6
