Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
418117090253.1;P.S.: SUR, 0217 MADRID;REPROGRAMADO;618;2
918223100201.4;P.S.: HORMIGUERAS, 177 MADRID;EJECUTADO;198;2
918122100274.4;P.S.: MADRAZO, 10 MADRID;EJECUTADO;188;18
918223110148.2;P.S.: PIROTECNIA, 2 MADRID;EJECUTADO;184;11
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;REPROGRAMAR;165;
918224040264.1;P.S.: SAN ILDEFONSO, 0003 MADRID;REPROGRAMAR;160;3
918224030070.1;P.S.: ASCENSION BIELSA, 15 MADRID;EJECUTADO;146;5
918223110263.1;P.S.: CALAHORRA, 17 MADRID;EJECUTADO;106;6
918224050076.1;P.S.: MOSCARETA, 6 MADRID;EJECUTADO;94;3
918222080062.8;P.S.: PIRITA, 20 MADRID;EJECUTABLE;93;4
918224040025.1;P.S.: MIGUEL DELIBES, 65 MADRID;EJECUTADO;89;
918222070439.1;P.S.: CGDOR DIEGO CABEZA VACA, 3 MADRID;REPROGRAMAR;86;6
918222120032.3;P.F.: EJE CENTRAL, 3 MADRID;EJECUTABLE;80;9
918222120032.1;P.F.: EJE CENTRAL, 3 MADRID;EJECUTADO;80;9
918223030312.1;P.S.: RETAMA, 3 MADRID;REPROGRAMAR;74;2
918224010255.1;P.S.: HACIENDA DE PAVONES, 0 MADRID;REPROGRAMAR;72;
918223030394.1;P.S.: SAN ISIDRO LABRADOR, 20 MADRID;REPROGRAMAR;69;3
918224090160.4;P.S.: AMBROZ, 0026 MADRID;EJECUTADO;66;2
918224080119.1;P.S.: CONVENIO, 23 MADRID;REPROGRAMAR;66;1
918224010410.1;P.S.: FRANCISCO DEL PINO, 1 MADRID;REPROGRAMAR;66;
918224070341.1;P.S.: GRAN VIA DEL SURESTE, 28 MADRID;REPROGRAMAR;65;2
918224010465.1;P.S.: TELLEZ, 2 MADRID;REPROGRAMAR;65;12
918224070026.1;P.S.: CERRO MILANO, 355 MADRID;REPROGRAMAR;64;3
918224080049.1;P.S.: ILUSION, 22 MADRID;REPROGRAMADO;63;1
918224050091.1;P.S.: Polígono: 0 Parcela: 0, MADRID;EJECUTADO;62;2
918224070267.1;P.S.: SUERTES DE LA VILLA, 102 MADRID;REPROGRAMADO;61;1
918224010162.9;P.S.: ALMONTE, 31 MADRID;PROGRAMADO;58;2
918224010162.1;P.S.: ALMONTE, 31 MADRID;EJECUTADO;58;2
918224090417.1;P.S.: EXTREMADURA, 0006 MADRID;REPROGRAMAR;56;1
918224070323.1;P.S.: COMERCIO, 14 MADRID;REPROGRAMAR;56;1
918124070131.1;P.S.: ALAMEDA, 0006 MADRID;REPROGRAMAR;56;10
918224010165.9;P.S.: UZP0103 ENSANCHE VALLECAS, 277 MADRID;PROGRAMADO;56;3
918224010165.1;P.S.: UZP0103 ENSANCHE VALLECAS, 277 MADRID;REPROGRAMADO;56;3
918224010163.9;P.S.: CORRAL DE ALMAGUER, 19 MADRID;PROGRAMADO;56;2
918224010163.1;P.S.: CORRAL DE ALMAGUER, 19 MADRID;EJECUTADO;56;2
