Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
418117090253.1;P.S.: SUR, 0217 MADRID;REPROGRAMADO;642;2
918223100201.4;P.S.: HORMIGUERAS, 177 MADRID;EJECUTADO;222;2
918224030070.1;P.S.: ASCENSION BIELSA, 15 MADRID;EJECUTADO;170;5
918222070439.1;P.S.: CGDOR DIEGO CABEZA VACA, 3 MADRID;REPROGRAMADO;110;6
918222120032.4;P.F.: EJE CENTRAL, 3 MADRID;EJECUTABLE;104;9
918224070341.1;P.S.: GRAN VIA DEL SURESTE, 28 MADRID;REPROGRAMADO;89;2
918224080119.1;P.S.: CONVENIO, 23 MADRID;EJECUTADO;88;1
918224010255.1;P.S.: HACIENDA DE PAVONES, 0 MADRID;EJECUTADO;77;21
918224080071.1;P.S.: GRAN VIA DEL SURESTE, 39 MADRID;EJECUTADO;72;3
918224010410.1;P.S.: FRANCISCO DEL PINO, 1 MADRID;EJECUTADO;72;
918224030194.5;P.S.: . MERCAMADRID CTM HOTEL, 0004 MADRID;PROGRAMADO;66;
918224080049.1;P.S.: ILUSION, 22 MADRID;EJECUTADO;65;2
918224050091.1;P.S.: Polígono: 0 Parcela: 0, MADRID;EJECUTADO;62;2
918224060086.1;P.S.: CAZORLA, 79 MADRID;REPROGRAMADO;59;
918224070138.1;P.S.: HUMILDAD, 11 MADRID;EJECUTADO;56;23
918224050188.1;P.S.: ALBUFERA, 9 MADRID;EJECUTADO;56;7
918223060233.3;P.S.: VILLA VALLECAS MERCAMADRI, 18 MADRID;PROGRAMADO;55;14
918224070248.1;P.S.: CARVAJALES, 1 MADRID;REPROGRAMADO;54;2
918223030202.9;P.S.: SECO, 13 MADRID;PROGRAMADO;53;
918223030202.2;P.S.: SECO, 13 MADRID;EJECUTABLE;53;
918223030202.1;P.S.: SECO, 13 MADRID;REPROGRAMAR;53;
918224100273.1;P.S.: CERRO MILANO, 441 MADRID;REPROGRAMAR;51;2
918223060238.1;P.S.: GRAN VIA DEL SURESTE, 60 MADRID;EJECUTADO;51;27
918223120100.1;P.S.: MOSCARETA, 6 MADRID;EJECUTADO;49;2
918224070163.4;P.S.: ARTE POP, 15 MADRID;PROGRAMADO;48;1
918224070163.9;P.S.: ARTE POP, 15 MADRID;PROGRAMADO;48;1
918224010167.9;P.S.: UZP0103 ENSANCHE VALLECAS, 513 MADRID;EJECUTABLE;47;2
918224070217.1;P.S.: SERRANILLOS DEL VALLE, 31 MADRID;REPROGRAMADO;46;2
918223120075.1;P.S.: CINCO MERCAMADRID, 2 MADRID;PROGRAMADO;45;4
918221110334.9;P.S.: EMBAJADORES, 232 MADRID;EJECUTABLE;43;5
918221110334.2;P.S.: EMBAJADORES, 232 MADRID;EJECUTABLE;43;5
918221110334.1;P.S.: EMBAJADORES, 232 MADRID;REPROGRAMADO;43;5
918224080107.1;P.S.: PICO CLAVERO, 6 MADRID;EJECUTADO;42;2
918223040015.4;P.S.: VILLAVERDE A VALLECAS, 260 MADRID;EJECUTABLE;42;15
918223040015.2;P.S.: VILLAVERDE A VALLECAS, 260 MADRID;EJECUTABLE;42;15
918224040095.1;P.S.: ESPERANZA GARCIA, 7 MADRID;REPROGRAMADO;41;5
918224050258.2;P.S.: PROV LOS BERROCALES 88, 3 MADRID;EJECUTABLE;40;8
918224050258.1;P.S.: PROV LOS BERROCALES 88, 3 MADRID;REPROGRAMAR;40;8
918224110444.1;P.S.: BARBARA DE BRAGANZA, 0009 MADRID;REPROGRAMADO;37;4
918223090050.1;P.S.: ILUSTRACION, 13 MADRID;EJECUTADO;37;21
918224060328.1;P.S.: CERRO MILANO, 415 MADRID;PROGRAMADO;34;38
918221010429.1;P.S.: SAN DIEGO, 89 MADRID;EJECUTADO;32;1
918224060235.1;P.S.: PAYASO FOFO, 7 MADRID;EJECUTADO;31;5
918224040012.1;P.F.: SANCHEZ BARCAIZTEGUI, 36 MADRID;EJECUTADO;27;6
918224060069.1;P.S.: COCHERON DE LA VILLA, 15 MADRID;REPROGRAMADO;25;2
918222080101.1;P.S.: SIERRA ARLA, 5 MADRID;REPROGRAMAR;25;2
918224080092.1;P.S.: JAIME EL CONQUISTADOR, 2 MADRID;REPROGRAMADO;24;4
918224050363.1;P.S.: PERALES, 11 MADRID;EJECUTABLE;24;2
918223080152.1;P.S.: VILLA VALLECAS MERCAMADRI, 20 MADRID;REPROGRAMAR;23;6
918224050283.1;P.S.: UZP0103 ENSANCHE VALLECAS, 29 MADRID;PROGRAMADO;22;2
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1
918221060357.1;P.S.: DE MORATALAZ, 21 MADRID;REPROGRAMAR;22;11
918224020192.1;P.S.: UZP0103 ENSANCHE VALLECAS, 270 MADRID;REPROGRAMAR;21;5
918124110056.1;P.S.: AMOR DE DIOS, 6 MADRID;EJECUTABLE;20;
918224100171.1;P.S.: DEMOCRACIA, 9 MADRID;EJECUTADO;20;3
918222040071.2;P.S.: MIGUEL DELIBES, 46 MADRID;PROGRAMADO;18;11
918222040071.1;P.S.: MIGUEL DELIBES, 46 MADRID;EJECUTADO;18;11
918224110156.1;P.S.: CAÑADA DEL SANTISIMO, MADRID;EJECUTADO;16;1
918224050074.1;P.S.: AURORA IGLESIAS, 13 MADRID;REPROGRAMADO;14;8
918223100081.1;P.S.: UZP0203 LOS AHIJONES, 6011 MADRID;REPROGRAMADO;13;
918224090249.1;P.S.: CERRO DEL TESORO, 90 MADRID;REPROGRAMAR;12;4
918223100214.1;P.S.: ANTONIO LOPEZ, 191 MADRID;REPROGRAMADO;11;
918225010135.1;P.S.: RAFAEL DE RIEGO, 0038 MADRID;REPROGRAMAR;10;
918224090021.1;P.S.: UCEDA, 42 MADRID;REPROGRAMAR;10;1
918223050409.1;P.S.: GARGANTA DE LOS MONTES, 1 MADRID;REPROGRAMADO;9;11
918223030394.1;P.S.: SAN ISIDRO LABRADOR, 20 MADRID;REPROGRAMADO;9;3
918224080230.1;P.S.: GRAN VIA DEL SURESTE, 49 MADRID;EJECUTADO;8;1
918224120302.1;P.S.: BARIO, 2 MADRID;REPROGRAMAR;6;1
918224110241.1;P.S.: ENRIQUE GRANADOS, 0006 MADRID;REPROGRAMAR;5;
918224080008.1;P.S.: PUERTA DE MOROS, 0008 MADRID;EJECUTADO;5;
918224110121.1;P.S.: Polígono: 5 Parcela: 4, MADRID;EJECUTABLE;4;4
918224070251.1;P.S.: INDALECIO PRIETO, 2 MADRID;EJECUTABLE;4;18
918224050257.1;P.S.: PROV LOS BERROCALES 81, 10 MADRID;REPROGRAMAR;4;4
918224050215.1;P.S.: MAYORAZGO, 2 MADRID;REPROGRAMADO;4;2
918223030264.1;P.S.: LA GRANJA SAN ILDEFONSO, 31 MADRID;REPROGRAMADO;4;9
918224120098.1;P.S.: CERRO DE LA ALCAZABA, 3 MADRID;REPROGRAMAR;3;
918224110188.1;P.S.: PUERTO DE CANFRANC, 7 MADRID;REPROGRAMAR;3;
918222030371.1;P.S.: CORREGIDOR LICENCIADO ANTO 0 MADRID;PROGRAMADO;3;
918223110096.1;P.S.: TOMAS BRETON, 57 MADRID;REPROGRAMAR;2;4
918223010355.1;P.S.: PUERTO DE MAGDALENA, 9 MADRID;REPROGRAMAR;2;11
918224070323.1;P.S.: COMERCIO, 14 MADRID;REPROGRAMAR;1;2
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;REPROGRAMAR;1;3
918223120121.2;P.S.: ANTONIO LOPEZ, 244 MADRID;STOP;0;33
918225010212.1;RET.: CONDE DE ROMANONES, 4 MADRID;STOP;0;2
918225010147.1;P.S.: RAYO VALLECANO DE MADRID, 79 MADRID;PEND.INST.PART;0;3
918224120177.1;RET.: BUENOS AIRES, 60 MADRID;REPROGRAMAR;0;
918224110375.1;P.S.: MAYORAZGO, 000 MADRID;PEND.INST.PART;0;
918224110190.1;RET.: VICALVARO A VALLECAS, 14 MADRID;REPROGRAMAR;0;1
918124090177.1;RET.: SIERRA BERMEJA, 12 MADRID;EJECUTABLE;0;1
918224100178.1;P.S.: VALDECULEBRAS, 33 MADRID;PEND.INST.PART;0;1
918224080117.1;P.S.: JOSE ESCOBAR Y SALIENTE, 80 MADRID;STOP;0;1
918224030129.1;RET.: LOPEZ GRAS, 46 MADRID;REPROGRAMAR;0;
918224120044.1;P.S.: PONT DE MOLINS, 11 MADRID;PEND.INST.PART;0;
918224100397.1;P.S.: ESMALTINA, 14 MADRID;STOP;0;5
918224110006.1;RET.: GODELLA, 1 MADRID;REPROGRAMAR;0;
918224100303.1;RET.: ALMONACID, 32 MADRID;REPROGRAMAR;0;
918224100382.1;P.S.: PICO CEBOLLERA, 52 MADRID;STOP;0;1
918224090086.1;RET.: PABLO NERUDA, 62 MADRID;REPROGRAMAR;0;
918224050334.1;RET.: ENCOMIENDA, 13 MADRID;REPROGRAMAR;0;3
918224100402.1;RET.: ENCOMIENDA DE PALACIOS, 318 MADRID;EJECUTADO;0;
918224100393.1;RET.: ENCOMIENDA DE PALACIOS, 242 MADRID;REPROGRAMAR;0;
918224100265.1;RET.: ENCOMIENDA DE PALACIOS, 148 MADRID;REPROGRAMAR;0;
918224090318.1;RET.: BENALAURIA, 3 MADRID;REPROGRAMAR;0;1
918224090256.1;RET.: MODESTO ALONSO, 3 MADRID;REPROGRAMADO;0;
918224080168.1;P.S.: EXTREMADURA, 93 MADRID;STOP;0;
918224100206.1;P.S.: CORDEL DE PAVONES, 2 MADRID;REPROGRAMAR;0;
918224100142.1;RET.: GALLO, 14 MADRID;REPROGRAMADO;0;
918224100040.1;RET.: JUANELO, 14 MADRID;EJECUTADO;0;
918224090322.1;P.S.: BARCO SINAIA, 21 MADRID;STOP;0;2
918224020408.1;RET.: MOLINO DE VIENTO, 6 MADRID;REPROGRAMAR;0;5
918124040563.1;RET.: ALMIRANTE, 9 MADRID;EJECUTADO;0;1
918224090352.1;RET.: SAN CLAUDIO, 101 MADRID;REPROGRAMAR;0;
918224100043.1;P.S.: PUERTO ALTO, 31 MADRID;STOP;0;1
918224090417.1;P.S.: EXTREMADURA, 0006 MADRID;STOP;0;2
918224090307.1;RET.: DUQUE DE SESTO, 34 MADRID;REPROGRAMAR;0;2
918224090170.1;P.S.: BRUNO ABUNDEZ, 19 MADRID;STOP;0;2
918224090052.1;RET.: SIERRA CONTRAVIESA, 61 MADRID;REPROGRAMAR;0;
918224090013.1;RET.: LOPEZ GRASS, 42 MADRID;REPROGRAMAR;0;
918221100285.1;P.S.: MARROQUINA, 71 MADRID;PEND.INST.PART;0;1
918221100278.1;P.S.: PARQUE PALOMERAS BAJAS, 10 MADRID;PEND.INST.PART;0;1
918224080160.1;RET.: ANTONIA MERCE, 1 MADRID;PROGRAMADO;0;21
918224080152.1;P.S.: GRAN VIA, 0052 MADRID;STOP;0;3
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;0;4
918124070044.1;RET.: HUERTAS, 58 MADRID;REPROGRAMAR;0;1
918224070322.1;RET.: MENDEZ ALVARO, 55 MADRID;REPROGRAMADO;0;1
918224040159.1;RET.: CIUDAD DE BARCELONA, 9 MADRID;REPROGRAMADO;0;2
918224010132.1;P.S.: BRUNO ABUNDEZ, 0048 MADRID;STOP;0;6
918224020260.1;P.S.: EL REAL DE SAN VICENTE, 39 MADRID;PEND.INST.PART;0;5
918224070344.1;P.S.: DOCTOR SANCHEZ, 0041 MADRID;STOP;0;
918224060213.1;P.S.: CERRO MILANO, 441 MADRID;EJECUTADO;0;6
918224030252.1;P.S.: CASALARREINA, 26 MADRID;STOP;0;2
918122090352.1;RET.: INFANTA ISABEL, 25 MADRID;PROGRAMADO;0;2
918224060304.1;P.S.: SAN DIEGO, 45 MADRID;STOP;0;5
918224060051.1;P.S.: PIROTECNIA, 37 MADRID;PEND.INST.PART;0;
918224060020.1;P.S.: EL REAL DE SAN VICENTE, 27 MADRID;STOP;0;2
918224050316.1;RET.: SAN DIEGO, 23 MADRID;REPROGRAMADO;0;7
918224050026.1;P.S.: DUQUE DE RIVAS, 0002 MADRID;STOP;0;11
918224020252.1;RET.: PIRITA, 14 MADRID;EJECUTADO;0;
918224060100.1;P.S.: PATERNA, 55 MADRID;PEND.INST.PART;0;
918224050210.1;P.S.: TELEFERICO DE LAS CANTERA, 14 MADRID;STOP;0;3
