Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones;SGT Plazo Legal Ejec.
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;REPROGRAMADO;84;26;80
918123090178.1;P.S.: MADRAZO, 9 MADRID;REPROGRAMADO;88;16;80
918125010313.1;P.S.: REYES, 0008 MADRID;REPROGRAMAR;54;5;30
918221090369.1;P.S.: MIGUEL DELIBES, 65 MADRID;REPROGRAMADO;8;5;60
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;245;1;80
918222030441.1;P.S.: SANTA JULIA, 46 MADRID;REPROGRAMAR;73;1;30
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;290;;30
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;126;6;30
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;REPROGRAMAR;64;3;30
918223070161.1;P.S.: UZP0103 ENSANCHE VALLECAS, 49 MADRID;REPROGRAMADO;30;;30
918223090047.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMADO;72;2;30
918223100217.1;P.S.: ABTAO, 48 MADRID;REPROGRAMAR;0;10;30
918224010020.1;P.S.: CAVA ALTA, 36 MADRID;REPROGRAMADO;12;8;30
918224010451.1;P.S.: PIROTECNIA, 47 MADRID;REPROGRAMADO;43;16;80
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1;30
918224020465.1;P.S.: VALERIA, 7 MADRID;REPROGRAMADO;57;16;30
918224030088.1;P.S.: TELLEZ, 2 MADRID;REPROGRAMADO;50;6;80
918224040227.1;P.S.: ZAZUAR, 15 MADRID;REPROGRAMAR;147;1;30
918224040269.1;P.S.: PEDRAFITA DO CEBREIRO, 1 MADRID;REPROGRAMADO;104;2;80
918224040380.1;P.S.: TRES MERCAMADRID, 1 MADRID;PROGRAMADO;10;;80
918224040441.1;P.S.: ALCALDE ANDRES MADRID DAV, 102 MADRID;REPROGRAMADO;12;15;60
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;186;6;60
918224080008.1;P.S.: PUERTA DE MOROS, 0008 MADRID;EJECUTADO;5;;30
918224100161.1;P.S.: GRAN VIA DEL SURESTE, 36 MADRID;REPROGRAMAR;36;1;30
918224100256.1;P.S.: CABALLERO DE GRACIA, 40 MADRID;PROGRAMADO;7;16;80
918224110376.1;P.S.: CIUDAD DE BARCELONA, 0122 MADRID;EJECUTADO;23;4;30
918224120045.1;P.S.: ESCALA, 19 MADRID;REPROGRAMAR;3;3;30
918224120094.1;P.S.: MAYORAZGO, 14 MADRID;REPROGRAMADO;12;4;30
918224120098.1;P.S.: CERRO DE LA ALCAZABA, 3 MADRID;REPROGRAMADO;17;1;30
918225010101.1;P.S.: LOS ROSALES, 120 MADRID;EJECUTADO;0;2;30
918225010135.1;P.S.: RAFAEL DE RIEGO, 0038 MADRID;EJECUTADO;42;1;30
918225010276.1;P.S.: ENTREPEÑAS, 13 MADRID;REPROGRAMADO;32;1;30
918225020124.1;P.S.: VILLALCON, 3 MADRID;PROGRAMADO;6;;80
918225020197.1;P.S.: PABLO NERUDA, 91 MADRID;REPROGRAMAR;23;2;30
918225020415.1;P.S.: BARCELONA, 226 MADRID;REPROGRAMADO;2;1;30
918225030174.1;P.S.: ENRIQUE URQUIJO, 35 MADRID;EJECUTABLE;32;41;30
918225040209.1;P.S.: SANTA MARIA SOLEDAD T. ACO 0002 MADRID;EJECUTADO;11;2;30
918225040237.1;P.S.: JOSE ESCOBAR Y SALIENTE, 49 MADRID;REPROGRAMADO;12;2;5
918225040245.1;P.S.: IGUALDAD, 18 MADRID;REPROGRAMADO;16;2;30
918225040349.1;P.S.: JUAN TORNERO, 50 MADRID;EJECUTADO;26;3;30
918225050125.1;P.S.: PROV AHIJONES-BERROCALES2, 30 MADRID;PROGRAMADO;10;3;30
918225050196.1;P.S.: HACHERO, 17 MADRID;REPROGRAMADO;10;5;30
918225050264.1;P.S.: PUERTA DEL SOL, 0011 MADRID;REPROGRAMADO;4;7;5
918225050272.1;P.S.: POSTIGO DE SAN MARTIN, 0005 MADRID;REPROGRAMAR;62;1;30
918225050377.1;P.S.: CONCILIACION, 7 MADRID;REPROGRAMAR;45;3;30
918225080025.1;P.S.: BATALLA DE SALAMINA, 21 MADRID;REPROGRAMADO;2;3;30
