Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;EJECUTADO;37;26
918123090178.1;P.S.: MADRAZO, 9 MADRID;EJECUTADO;41;16
918124110249.1;P.S.: RUIZ DE ALARCON, 5 MADRID;REPROGRAMADO;5;4
918125010313.1;P.S.: REYES, 0008 MADRID;PROGRAMADO;7;4
918221070082.1;P.S.: CARIDAD, 28 MADRID;REPROGRAMADO;21;3
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;0;1
918222030441.1;P.S.: SANTA JULIA, 46 MADRID;REPROGRAMAR;26;1
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;165;
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;79;6
918223020629.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMAR;20;7
918223030202.1;P.S.: SECO, 13 MADRID;REPROGRAMADO;65;
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;REPROGRAMAR;17;3
918223070293.1;P.S.: CUARENTA Y CINCO MERCAMAD, 8 MADRID;PROGRAMADO;7;16
918223090047.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMAR;25;2
918223090096.1;P.S.: JUANA DOÑA, 5 MADRID;REPROGRAMADO;15;9
918223100217.1;P.S.: ABTAO, 48 MADRID;REPROGRAMAR;0;9
918223110096.1;P.S.: TOMAS BRETON, 57 MADRID;REPROGRAMADO;35;5
918224010020.1;P.S.: CAVA ALTA, 36 MADRID;REPROGRAMADO;30;8
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1
918224020465.1;P.S.: VALERIA, 7 MADRID;REPROGRAMAR;10;14
918224030088.1;P.S.: TELLEZ, 2 MADRID;PROGRAMADO;3;6
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;EJECUTADO;49;5
918224040227.1;P.S.: ZAZUAR, 15 MADRID;REPROGRAMAR;100;1
918224040269.1;P.S.: PEDRAFITA DO CEBREIRO, 1 MADRID;REPROGRAMAR;57;2
918224040394.1;P.S.: BOYER, 18 MADRID;REPROGRAMADO;0;4
918224050298.1;P.S.: PROV AHIJONES-BERROCALES5, 62 MADRID;EJECUTADO;33;5
918224060250.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMADO;15;2
918224060351.1;P.S.: ANDALUCIA, 0012 MADRID;REPROGRAMAR;45;13
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;139;6
918224070251.1;P.S.: INDALECIO PRIETO, 2 MADRID;REPROGRAMAR;23;21
918224080008.1;P.S.: PUERTA DE MOROS, 0008 MADRID;EJECUTADO;5;
918224090092.1;P.S.: SECO, 13 MADRID;EJECUTADO;9;1
918224090173.1;P.S.: LAS SANTERAS, 51 MADRID;REPROGRAMADO;37;3
918224090340.1;P.S.: CERRO DEL MURMULLO, 63 MADRID;PROGRAMADO;80;6
918224090399.1;P.S.: PROV LOS BERROCALES 68, 25 MADRID;REPROGRAMAR;109;2
918224100252.1;P.S.: FUENCARRAL, 6 MADRID;REPROGRAMADO;26;
918224110376.1;P.S.: CIUDAD DE BARCELONA, 0122 MADRID;EJECUTADO;23;2
918224120043.1;P.S.: ESCALA, 8 MADRID;REPROGRAMADO;21;5
918224120089.1;P.S.: SERRANILLOS DEL VALLE, 25 MADRID;REPROGRAMAR;0;2
918224120118.1;P.S.: UCEDA, 54 MADRID;REPROGRAMAR;27;2
918224120213.1;P.S.: ENCARNACION OVIOL, 19 MADRID;REPROGRAMAR;8;
918224120259.1;P.S.: MENDEZ ALVARO, 36 MADRID;REPROGRAMAR;30;2
918225010003.1;P.S.: POZO DEL TIO RAIMUNDO, 25 MADRID;REPROGRAMADO;15;2
918225010004.1;P.S.: TINEO, 2 MADRID;REPROGRAMADO;15;2
918225010135.1;P.S.: RAFAEL DE RIEGO, 0038 MADRID;REPROGRAMADO;5;
918225020073.1;P.S.: SIERRA MOLINA, 30 MADRID;REPROGRAMADO;23;3
918225020202.1;P.S.: CONCEJAL VICTORINO GRANIZ, 143 MADRID;REPROGRAMADO;70;1
918225020249.1;P.S.: FERENC PUSKAS, 219 MADRID;REPROGRAMADO;8;6
918225020341.1;P.S.: JUANA DOÑA, 5 MADRID;EJECUTADO;21;
918225020370.1;P.S.: JAIME VERA, 58 MADRID;REPROGRAMAR;41;4
918225040209.1;P.S.: SANTA MARIA SOLEDAD T. ACO 0002 MADRID;EJECUTADO;11;1
918225040213.1;P.S.: ALTO DE LA SARTENILLA, 56 MADRID;EJECUTADO;32;7
918225040238.1;P.S.: VICTORIA KENT, 4 MADRID;REPROGRAMAR;0;1
918225040349.1;P.S.: JUAN TORNERO, 50 MADRID;EJECUTADO;26;3
918225040370.1;P.S.: LICENCIADO VIDRIERAS, 19 MADRID;REPROGRAMAR;9;3
918225050139.1;P.S.: O'DONNELL, 0005 MADRID;REPROGRAMADO;2;
918225050264.1;P.S.: PUERTA DEL SOL, 0011 MADRID;REPROGRAMADO;13;4
918225050272.1;P.S.: POSTIGO DE SAN MARTIN, 0005 MADRID;REPROGRAMADO;15;
918225050277.1;P.S.: PRIM, 0005 MADRID;REPROGRAMAR;28;1
918225050282.1;P.S.: IGUALDAD, 121 MADRID;REPROGRAMADO;19;4
918225050393.1;P.S.: APODACA, 20 MADRID;REPROGRAMAR;22;1
918225060199.1;P.S.: ARTE FIGURATIVO, 19 MADRID;REPROGRAMADO;25;1
918225060319.1;P.S.: ALTO DE LA SARTENILLA, 58 MADRID;REPROGRAMADO;15;
918225060379.1;P.S.: RAFAEL ALBERTI, 22 MADRID;REPROGRAMADO;16;4
918225070400.1;P.S.: BARIO, 2 MADRID;EJECUTABLE;5;2
