Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;EJECUTADO;20;26
918123090178.1;P.S.: MADRAZO, 9 MADRID;REPROGRAMADO;24;16
918124110056.1;P.S.: AMOR DE DIOS, 6 MADRID;EJECUTADO;48;1
918124110249.1;P.S.: RUIZ DE ALARCON, 5 MADRID;REPROGRAMADO;1;2
918221070021.1;P.S.: ALBUFERA, 319 MADRID;EJECUTADO;58;17
918221070082.1;P.S.: CARIDAD, 28 MADRID;REPROGRAMAR;10;3
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;181;1
918222030441.1;P.S.: SANTA JULIA, 46 MADRID;REPROGRAMAR;9;
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;165;
918223010355.1;P.S.: PUERTO DE MAGDALENA, 9 MADRID;REPROGRAMAR;73;12
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;62;5
918223020629.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMAR;3;7
918223030202.1;P.S.: SECO, 13 MADRID;REPROGRAMADO;48;
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;REPROGRAMAR;0;3
918223040369.1;P.S.: FERNANDEZ SHAW, 9 MADRID;REPROGRAMAR;96;3
918223090047.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMAR;8;2
918223100278.1;P.S.: TOMAS BRETON, 57 MADRID;EJECUTADO;21;11
918223110010.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMAR;50;2
918223110096.1;P.S.: TOMAS BRETON, 57 MADRID;REPROGRAMADO;18;5
918223120146.1;P.S.: CARTAGENA DE INDIAS, 50 MADRID;EJECUTADO;54;4
918224010020.1;P.S.: CAVA ALTA, 36 MADRID;REPROGRAMAR;13;8
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1
918224030070.1;P.S.: ASCENSION BIELSA, 15 MADRID;EJECUTADO;256;5
918224030277.1;P.S.: ISLA DE LUZON, 13 MADRID;EJECUTADO;0;5
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;REPROGRAMADO;49;4
918224040095.1;P.S.: ESPERANZA GARCIA, 7 MADRID;REPROGRAMAR;30;6
918224040227.1;P.S.: ZAZUAR, 15 MADRID;REPROGRAMAR;83;1
