Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;EJECUTADO;41;26
918123090178.1;P.S.: MADRAZO, 9 MADRID;EJECUTADO;45;16
918124110249.1;P.S.: RUIZ DE ALARCON, 5 MADRID;REPROGRAMADO;9;4
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;202;1
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;290;
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;83;6
918223030202.1;P.S.: SECO, 13 MADRID;REPROGRAMADO;69;
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;REPROGRAMAR;21;3
918223070293.1;P.S.: CUARENTA Y CINCO MERCAMAD, 8 MADRID;PROGRAMADO;11;16
918223090047.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMAR;29;2
918223090096.1;P.S.: JUANA DOÑA, 5 MADRID;REPROGRAMADO;19;9
918224010020.1;P.S.: CAVA ALTA, 36 MADRID;REPROGRAMADO;34;8
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1
918224030088.1;P.S.: TELLEZ, 2 MADRID;PROGRAMADO;7;6
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;EJECUTADO;49;5
918224040227.1;P.S.: ZAZUAR, 15 MADRID;REPROGRAMAR;104;1
918224040269.1;P.S.: PEDRAFITA DO CEBREIRO, 1 MADRID;REPROGRAMAR;61;2
918224050298.1;P.S.: PROV AHIJONES-BERROCALES5, 62 MADRID;EJECUTADO;48;5
918224060351.1;P.S.: ANDALUCIA, 0012 MADRID;REPROGRAMAR;49;13
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;143;6
918224080008.1;P.S.: PUERTA DE MOROS, 0008 MADRID;EJECUTADO;5;
918224090092.1;P.S.: SECO, 13 MADRID;EJECUTADO;9;1
918224090173.1;P.S.: LAS SANTERAS, 51 MADRID;REPROGRAMADO;41;3
918224090265.1;P.S.: CANARIAS, 51 MADRID;REPROGRAMAR;2;8
918224090399.1;P.S.: PROV LOS BERROCALES 68, 25 MADRID;REPROGRAMAR;113;3
918224110376.1;P.S.: CIUDAD DE BARCELONA, 0122 MADRID;EJECUTADO;23;2
918224120089.1;P.S.: SERRANILLOS DEL VALLE, 25 MADRID;REPROGRAMADO;4;2
918225010003.1;P.S.: POZO DEL TIO RAIMUNDO, 25 MADRID;REPROGRAMADO;19;2
918225010004.1;P.S.: TINEO, 2 MADRID;REPROGRAMADO;19;2
918225010135.1;P.S.: RAFAEL DE RIEGO, 0038 MADRID;REPROGRAMADO;5;
918225020073.1;P.S.: SIERRA MOLINA, 30 MADRID;REPROGRAMADO;27;3
918225020202.1;P.S.: CONCEJAL VICTORINO GRANIZ, 143 MADRID;EJECUTADO;74;1
918225020249.1;P.S.: FERENC PUSKAS, 219 MADRID;REPROGRAMADO;12;6
918225020341.1;P.S.: JUANA DOÑA, 5 MADRID;EJECUTADO;21;
918225020370.1;P.S.: JAIME VERA, 58 MADRID;REPROGRAMADO;45;4
918225040209.1;P.S.: SANTA MARIA SOLEDAD T. ACO 0002 MADRID;EJECUTADO;11;1
918225040213.1;P.S.: ALTO DE LA SARTENILLA, 56 MADRID;EJECUTADO;32;7
918225040349.1;P.S.: JUAN TORNERO, 50 MADRID;EJECUTADO;26;3
918225050282.1;P.S.: IGUALDAD, 121 MADRID;REPROGRAMADO;23;5
918225050330.1;P.S.: VICTORIA KENT, 5 MADRID;PROGRAMADO;2;1
918225060319.1;P.S.: ALTO DE LA SARTENILLA, 58 MADRID;REPROGRAMADO;19;
918225060379.1;P.S.: RAFAEL ALBERTI, 22 MADRID;REPROGRAMADO;20;4
