Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones;SGT Plazo Legal Ejec.
918122110175.1;P.S.: INFANTA ISABEL, 2 MADRID;REPROGRAMADO;7;12;80
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;REPROGRAMADO;92;26;80
918123090178.1;P.S.: MADRAZO, 9 MADRID;EJECUTADO;96;16;80
918125010313.1;P.S.: REYES, 0008 MADRID;REPROGRAMAR;62;5;30
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;0;1;80
918222020240.1;P.S.: SEGOVIA, 15 MADRID;PROGRAMADO;0;24;60
918222030441.1;P.S.: SANTA JULIA, 46 MADRID;REPROGRAMAR;81;2;30
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;290;;30
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;134;6;30
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;REPROGRAMAR;72;3;30
918223070161.1;P.S.: UZP0103 ENSANCHE VALLECAS, 49 MADRID;EJECUTADO;1;;30
918223100217.1;P.S.: ABTAO, 48 MADRID;REPROGRAMAR;0;10;30
918224010062.1;P.S.: VILLAVERDE A PERALES RIO, 13 MADRID;REPROGRAMADO;0;6;60
918224020192.1;P.S.: UZP0103 ENSANCHE VALLECAS, 270 MADRID;REPROGRAMADO;35;19;30
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1;30
918224030088.1;P.S.: TELLEZ, 2 MADRID;REPROGRAMADO;58;6;80
918224030156.1;P.S.: VICALVARO ESTAC O'DONNELL, 21 MADRID;REPROGRAMAR;52;1;30
918224040101.1;P.S.: TENIENTE CORONEL NOREÑA, 20 MADRID;REPROGRAMADO;4;4;30
918224040227.1;P.S.: ZAZUAR, 15 MADRID;REPROGRAMAR;155;1;30
918224060250.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMAR;70;2;30
918224060304.1;P.S.: SAN DIEGO, 45 MADRID;REPROGRAMAR;5;12;30
918224060331.1;P.S.: PIROTECNIA, 83 MADRID;REPROGRAMADO;50;3;5
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;194;6;60
918224070251.1;P.S.: INDALECIO PRIETO, 2 MADRID;REPROGRAMAR;78;32;30
918224080008.1;P.S.: PUERTA DE MOROS, 0008 MADRID;EJECUTADO;5;;30
918224090304.1;P.S.: TUDESCOS, 0001 MADRID;REPROGRAMAR;31;4;80
918224100161.1;P.S.: GRAN VIA DEL SURESTE, 36 MADRID;REPROGRAMAR;44;1;30
918224100252.1;P.S.: FUENCARRAL, 6 MADRID;REPROGRAMAR;38;;30
918224100256.1;P.S.: CABALLERO DE GRACIA, 40 MADRID;PROGRAMADO;15;16;80
918224110121.1;P.S.: Polígono: 5 Parcela: 4, MADRID;REPROGRAMAR;43;24;30
918224120043.1;P.S.: ESCALA, 8 MADRID;REPROGRAMAR;76;7;30
918224120044.1;P.S.: PONT DE MOLINS, 11 MADRID;REPROGRAMAR;50;5;30
918224120045.1;P.S.: ESCALA, 19 MADRID;REPROGRAMAR;11;3;30
918224120098.1;P.S.: CERRO DE LA ALCAZABA, 3 MADRID;REPROGRAMADO;20;1;30
918224120118.1;P.S.: UCEDA, 54 MADRID;REPROGRAMAR;82;3;30
918224120213.1;P.S.: ENCARNACION OVIOL, 19 MADRID;REPROGRAMAR;63;1;30
918225010135.1;P.S.: RAFAEL DE RIEGO, 0038 MADRID;EJECUTADO;5;1;30
918225010276.1;P.S.: ENTREPEÑAS, 13 MADRID;REPROGRAMADO;40;1;30
918225010439.1;P.S.: DEMOCRACIA, 2 MADRID;REPROGRAMAR;50;1;30
918225020122.1;P.S.: EUGENIO ZUBIA, 10 MADRID;REPROGRAMADO;17;;30
918225020197.1;P.S.: PABLO NERUDA, 91 MADRID;REPROGRAMAR;31;2;30
