Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;EJECUTADO;27;26
918123090178.1;P.S.: MADRAZO, 9 MADRID;EJECUTADO;31;16
918124110056.1;P.S.: AMOR DE DIOS, 6 MADRID;EJECUTADO;48;2
918124110249.1;P.S.: RUIZ DE ALARCON, 5 MADRID;REPROGRAMADO;8;2
918221070021.1;P.S.: ALBUFERA, 319 MADRID;EJECUTADO;65;19
918221070082.1;P.S.: CARIDAD, 28 MADRID;REPROGRAMADO;17;3
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;188;1
918222030441.1;P.S.: SANTA JULIA, 46 MADRID;REPROGRAMAR;16;
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;165;
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;69;6
918223020629.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMAR;10;7
918223030202.1;P.S.: SECO, 13 MADRID;REPROGRAMADO;55;
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;REPROGRAMAR;7;3
918223090047.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMAR;15;2
918223090096.1;P.S.: JUANA DOÑA, 5 MADRID;REPROGRAMADO;5;9
918223100217.1;P.S.: ABTAO, 48 MADRID;REPROGRAMAR;0;8
918223100278.1;P.S.: TOMAS BRETON, 57 MADRID;EJECUTADO;21;11
918223110096.1;P.S.: TOMAS BRETON, 57 MADRID;REPROGRAMADO;25;5
918223120146.1;P.S.: CARTAGENA DE INDIAS, 50 MADRID;EJECUTADO;61;4
918224010020.1;P.S.: CAVA ALTA, 36 MADRID;REPROGRAMADO;20;8
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1
918224020465.1;P.S.: VALERIA, 7 MADRID;REPROGRAMAR;0;14
918224030070.1;P.S.: ASCENSION BIELSA, 15 MADRID;EJECUTADO;187;5
918224030277.1;P.S.: ISLA DE LUZON, 13 MADRID;EJECUTADO;0;5
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;EJECUTADO;49;5
918224040227.1;P.S.: ZAZUAR, 15 MADRID;REPROGRAMAR;90;1
918224040269.1;P.S.: PEDRAFITA DO CEBREIRO, 1 MADRID;REPROGRAMAR;47;2
918224040394.1;P.S.: BOYER, 18 MADRID;REPROGRAMADO;0;4
918224050298.1;P.S.: PROV AHIJONES-BERROCALES5, 62 MADRID;EJECUTADO;33;5
918224060105.1;P.S.: JUAN ANTONIO BARDEM, 19 MADRID;EJECUTADO;31;9
918224060250.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMADO;5;2
918224060351.1;P.S.: ANDALUCIA, 0012 MADRID;REPROGRAMAR;35;13
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;129;6
918224070251.1;P.S.: INDALECIO PRIETO, 2 MADRID;REPROGRAMAR;13;21
918224080008.1;P.S.: PUERTA DE MOROS, 0008 MADRID;EJECUTADO;5;
918224090056.1;P.S.: SIERRA DE LA DEMANDA, 63 MADRID;EJECUTADO;32;8
918224090092.1;P.S.: SECO, 13 MADRID;EJECUTADO;9;1
918224090173.1;P.S.: LAS SANTERAS, 51 MADRID;REPROGRAMADO;27;3
918224090340.1;P.S.: CERRO DEL MURMULLO, 63 MADRID;EJECUTABLE;70;6
918224090399.1;P.S.: PROV LOS BERROCALES 68, 25 MADRID;REPROGRAMAR;99;2
918224100252.1;P.S.: FUENCARRAL, 6 MADRID;REPROGRAMADO;16;
918224110061.1;P.S.: DE LA GAVIA, 0 MADRID;EJECUTADO;24;5
918224110376.1;P.S.: CIUDAD DE BARCELONA, 0122 MADRID;EJECUTADO;23;2
