Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
418419100170.2;P.S.: ENRIQUE URQUIJO, 110 MADRID;REPROGRAMAR;751;10
418419110055.2;P.S.: JUAN CARREÑO DE MIRANDA, 14 MADRID;REPROGRAMAR;649;4
418117090253.1;P.S.: SUR, 0217 MADRID;REPROGRAMADO;583;2
418418050032.4;P.S.: FUENCARRAL, 77 MADRID;EJECUTADO;260;1
418519020194.2;P.S.: UZP0204 LOS BERROCALES, 29 MADRID;PROGRAMADO;227;
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;REPROGRAMAR;165;
918223100201.4;P.S.: HORMIGUERAS, 177 MADRID;EJECUTADO;163;2
918122100274.4;P.S.: MADRAZO, 10 MADRID;EJECUTADO;153;18
918223110148.2;P.S.: PIROTECNIA, 2 MADRID;EJECUTADO;149;10
918224040264.1;P.S.: SAN ILDEFONSO, 0003 MADRID;REPROGRAMAR;125;3
918224030070.1;P.S.: ASCENSION BIELSA, 15 MADRID;EJECUTADO;111;5
918223060099.1;P.S.: MIGUEL DELIBES, 20 MADRID;EJECUTADO;108;
918223050171.2;P.S.: LUIS I, 52 MADRID;EJECUTADO;104;8
918222080062.8;P.S.: PIRITA, 20 MADRID;EJECUTABLE;93;2
918224040025.1;P.S.: MIGUEL DELIBES, 65 MADRID;EJECUTADO;88;
918224050076.1;P.S.: MOSCARETA, 6 MADRID;EJECUTADO;85;3
918223110263.1;P.S.: CALAHORRA, 17 MADRID;EJECUTADO;71;6
918224010175.1;P.S.: LEONOR GONZALEZ, 1 MADRID;EJECUTADO;69;3
918221100039.2;P.S.: PUERTO ALTO, 22 MADRID;EJECUTADO;69;6
918222090293.1;P.S.: PALOS DE LA FRONTERA, 44 MADRID;EJECUTADO;67;17
918221020355.9;P.S.: DIALOGO, 63 MADRID;REPROGRAMAR;66;2
918224050209.1;P.S.: CERRO DEL TESORO, 90 MADRID;EJECUTADO;63;2
918224050091.1;P.S.: Polígono: 0 Parcela: 0, MADRID;EJECUTADO;62;2
918222070438.1;P.S.: MARIA TERESA LEON, 14 MADRID;REPROGRAMAR;56;11
918224070042.1;P.S.: JUAN ANTON, 10 MADRID;EJECUTADO;55;2
918221100292.2;P.S.: MENDEZ ALVARO, 55 MADRID;PROGRAMADO;53;2
918222060137.3;P.S.: JOSE GUTIERREZ MAROTO, 18 MADRID;EJECUTABLE;53;5
918222060137.4;P.S.: JOSE GUTIERREZ MAROTO, 18 MADRID;EJECUTADO;53;5
