Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones;SGT Plazo Legal Ejec.
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;REPROGRAMADO;83;26;80
918123090178.1;P.S.: MADRAZO, 9 MADRID;REPROGRAMADO;87;16;80
918125010313.1;P.S.: REYES, 0008 MADRID;REPROGRAMAR;53;5;30
918221070204.1;P.S.: ILUSION, 41 MADRID;PROGRAMADO;5;3;60
918221090369.1;P.S.: MIGUEL DELIBES, 65 MADRID;REPROGRAMADO;7;5;60
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;244;1;80
918222020240.1;P.S.: SEGOVIA, 15 MADRID;PROGRAMADO;3;24;60
918222030441.1;P.S.: SANTA JULIA, 46 MADRID;REPROGRAMAR;72;1;30
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;312;;30
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;125;6;30
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;REPROGRAMAR;63;3;30
918223070161.1;P.S.: UZP0103 ENSANCHE VALLECAS, 49 MADRID;REPROGRAMADO;29;;30
918223090047.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMADO;71;2;30
918223100217.1;P.S.: ABTAO, 48 MADRID;REPROGRAMAR;0;10;30
918224010020.1;P.S.: CAVA ALTA, 36 MADRID;REPROGRAMADO;11;8;30
918224010062.1;P.S.: VILLAVERDE A PERALES RIO, 13 MADRID;EJECUTABLE;0;6;60
918224010451.1;P.S.: PIROTECNIA, 47 MADRID;REPROGRAMADO;42;16;80
918224020192.1;P.S.: UZP0103 ENSANCHE VALLECAS, 270 MADRID;REPROGRAMADO;26;19;30
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1;30
918224020465.1;P.S.: VALERIA, 7 MADRID;REPROGRAMADO;56;16;30
918224030088.1;P.S.: TELLEZ, 2 MADRID;REPROGRAMADO;49;6;80
918224030156.1;P.S.: VICALVARO ESTAC O'DONNELL, 21 MADRID;REPROGRAMAR;43;1;30
918224040101.1;P.S.: TENIENTE CORONEL NOREÑA, 20 MADRID;REPROGRAMADO;3;4;30
918224040227.1;P.S.: ZAZUAR, 15 MADRID;REPROGRAMAR;146;1;30
918224040269.1;P.S.: PEDRAFITA DO CEBREIRO, 1 MADRID;REPROGRAMADO;103;2;80
918224040380.1;P.S.: TRES MERCAMADRID, 1 MADRID;PROGRAMADO;9;;80
918224040441.1;P.S.: ALCALDE ANDRES MADRID DAV, 102 MADRID;REPROGRAMADO;11;15;60
918224060250.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMAR;61;2;30
918224060331.1;P.S.: PIROTECNIA, 83 MADRID;REPROGRAMAR;41;3;5
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;185;6;60
918224070251.1;P.S.: INDALECIO PRIETO, 2 MADRID;REPROGRAMAR;69;32;30
918224080008.1;P.S.: PUERTA DE MOROS, 0008 MADRID;EJECUTADO;5;;30
918224090304.1;P.S.: TUDESCOS, 0001 MADRID;REPROGRAMAR;22;4;80
