Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones;SGT Plazo Legal Ejec.
918224100023.1;P.S.: BENAMEJI, 6 MADRID;REPROGRAMAR;5;1;30
918224100161.1;P.S.: GRAN VIA DEL SURESTE, 36 MADRID;REPROGRAMAR;35;1;30
918224100252.1;P.S.: FUENCARRAL, 6 MADRID;REPROGRAMAR;29;;30
918224100256.1;P.S.: CABALLERO DE GRACIA, 40 MADRID;PROGRAMADO;6;16;80
918224110121.1;P.S.: Polígono: 5 Parcela: 4, MADRID;REPROGRAMAR;34;14;30
918224110376.1;P.S.: CIUDAD DE BARCELONA, 0122 MADRID;EJECUTADO;23;4;30
918224120043.1;P.S.: ESCALA, 8 MADRID;REPROGRAMAR;67;7;30
918224120044.1;P.S.: PONT DE MOLINS, 11 MADRID;REPROGRAMAR;41;5;30
918224120045.1;P.S.: ESCALA, 19 MADRID;REPROGRAMAR;2;3;30
918224120094.1;P.S.: MAYORAZGO, 14 MADRID;REPROGRAMADO;11;4;30
918224120098.1;P.S.: CERRO DE LA ALCAZABA, 3 MADRID;REPROGRAMADO;16;1;30
918224120118.1;P.S.: UCEDA, 54 MADRID;REPROGRAMAR;73;3;30
918224120213.1;P.S.: ENCARNACION OVIOL, 19 MADRID;REPROGRAMAR;54;1;30
918225010101.1;P.S.: LOS ROSALES, 120 MADRID;EJECUTADO;11;2;30
918225010135.1;P.S.: RAFAEL DE RIEGO, 0038 MADRID;EJECUTADO;5;1;30
918225010276.1;P.S.: ENTREPEÑAS, 13 MADRID;REPROGRAMADO;31;1;30
918225010439.1;P.S.: DEMOCRACIA, 2 MADRID;REPROGRAMAR;41;;30
918225020122.1;P.S.: EUGENIO ZUBIA, 10 MADRID;REPROGRAMADO;8;;30
918225020124.1;P.S.: VILLALCON, 3 MADRID;PROGRAMADO;5;;80
918225020197.1;P.S.: PABLO NERUDA, 91 MADRID;REPROGRAMAR;22;2;30
918225020415.1;P.S.: BARCELONA, 226 MADRID;REPROGRAMADO;1;1;30
918225030174.1;P.S.: ENRIQUE URQUIJO, 35 MADRID;EJECUTABLE;31;40;30
918225040163.1;P.S.: DAROCA, 0 MADRID;REPROGRAMAR;9;5;30
918225040209.1;P.S.: SANTA MARIA SOLEDAD T. ACO 0002 MADRID;EJECUTADO;11;2;30
918225040237.1;P.S.: JOSE ESCOBAR Y SALIENTE, 49 MADRID;REPROGRAMADO;11;1;5
918225040242.1;P.S.: VICTORIA KENT, 28 MADRID;EJECUTABLE;0;4;30
918225040245.1;P.S.: IGUALDAD, 18 MADRID;REPROGRAMADO;15;1;30
918225040349.1;P.S.: JUAN TORNERO, 50 MADRID;EJECUTADO;26;3;30
918225050024.1;P.S.: EMBAJADORES, 251 MADRID;REPROGRAMAR;28;2;30
918225050125.1;P.S.: PROV AHIJONES-BERROCALES2, 30 MADRID;PROGRAMADO;9;3;30
918225050139.1;P.S.: O'DONNELL, 0005 MADRID;REPROGRAMAR;48;1;30
918225050167.1;P.S.: MINERVA, 16 MADRID;REPROGRAMAR;34;;30
918225050172.1;P.S.: ARTE ABSTRACTO, 6 MADRID;REPROGRAMAR;43;3;30
918225050196.1;P.S.: HACHERO, 17 MADRID;REPROGRAMADO;9;5;30
918225050264.1;P.S.: PUERTA DEL SOL, 0011 MADRID;REPROGRAMADO;4;7;5
918225050272.1;P.S.: POSTIGO DE SAN MARTIN, 0005 MADRID;REPROGRAMAR;61;1;30
918225050377.1;P.S.: CONCILIACION, 7 MADRID;REPROGRAMAR;44;3;30
918225060036.1;P.S.: GALLEGOS, 72 MADRID;REPROGRAMAR;2;4;30
918225060220.1;P.S.: PICO DEL SALTADERO, 6 MADRID;REPROGRAMAR;23;7;30
918225080007.1;P.S.: SIERRA DE MEIRA, 29 MADRID;REPROGRAMAR;40;;30
918225080025.1;P.S.: BATALLA DE SALAMINA, 21 MADRID;REPROGRAMADO;1;3;30
918225080175.1;P.S.: JOSE ESCOBAR Y SALIENTE, 50 MADRID;EJECUTABLE;0;;5
918225090092.1;P.S.: BUENDIA, 25 MADRID;REPROGRAMAR;1;3;30
918225090363.1;P.S.: LARDERO, 11 MADRID;REPROGRAMAR;1;4;30
