Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
418117090253.1;P.S.: SUR, 0217 MADRID;REPROGRAMADO;644;2
918223100201.4;P.S.: HORMIGUERAS, 177 MADRID;EJECUTADO;224;2
918224040264.1;P.S.: SAN ILDEFONSO, 0003 MADRID;REPROGRAMAR;186;3
918224030070.1;P.S.: ASCENSION BIELSA, 15 MADRID;EJECUTADO;172;5
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;REPROGRAMAR;165;
918123110321.1;P.S.: ENRIQUE URQUIJO, 87 MADRID;EJECUTABLE;138;10
918222070439.1;P.S.: CGDOR DIEGO CABEZA VACA, 3 MADRID;EJECUTADO;112;7
918222120032.4;P.F.: EJE CENTRAL, 3 MADRID;PROGRAMADO;106;9
918223030312.1;P.S.: RETAMA, 3 MADRID;REPROGRAMAR;100;2
918123080287.1;P.S.: VALENZUELA, 0 MADRID;REPROGRAMAR;94;
918222080062.8;P.S.: PIRITA, 20 MADRID;EJECUTABLE;93;6
918224070341.1;P.S.: GRAN VIA DEL SURESTE, 28 MADRID;REPROGRAMADO;91;2
918224070026.1;P.S.: CERRO MILANO, 355 MADRID;REPROGRAMAR;90;4
918224080119.1;P.S.: CONVENIO, 23 MADRID;EJECUTADO;88;1
918224010255.1;P.S.: HACIENDA DE PAVONES, 0 MADRID;EJECUTADO;77;21
918224080071.1;P.S.: GRAN VIA DEL SURESTE, 39 MADRID;EJECUTADO;74;3
918224010410.1;P.S.: FRANCISCO DEL PINO, 1 MADRID;EJECUTADO;72;
918224030194.5;P.S.: . MERCAMADRID CTM HOTEL, 0004 MADRID;PROGRAMADO;68;
918224050091.1;P.S.: Polígono: 0 Parcela: 0, MADRID;EJECUTADO;62;2
918224060086.1;P.S.: CAZORLA, 79 MADRID;EJECUTADO;61;
918224050188.1;P.S.: ALBUFERA, 9 MADRID;EJECUTADO;58;7
918223060233.3;P.S.: VILLA VALLECAS MERCAMADRI, 18 MADRID;PROGRAMADO;57;14
918224070248.1;P.S.: CARVAJALES, 1 MADRID;EJECUTADO;56;2
918224070138.1;P.S.: HUMILDAD, 11 MADRID;EJECUTADO;56;24
918223030202.9;P.S.: SECO, 13 MADRID;PROGRAMADO;55;
918223030202.2;P.S.: SECO, 13 MADRID;EJECUTABLE;55;
918223030202.1;P.S.: SECO, 13 MADRID;REPROGRAMAR;55;
918224100273.1;P.S.: CERRO MILANO, 441 MADRID;REPROGRAMAR;53;2
918224090053.4;P.S.: PUERTA TOLEDO MERCAMADRID, 2 MADRID;EJECUTABLE;51;
918223060238.1;P.S.: GRAN VIA DEL SURESTE, 60 MADRID;EJECUTADO;51;29
918224050307.1;P.S.: VALDECULEBRAS, 85 MADRID;REPROGRAMAR;49;2
918223120100.1;P.S.: MOSCARETA, 6 MADRID;EJECUTADO;49;2
918224070217.1;P.S.: SERRANILLOS DEL VALLE, 31 MADRID;EJECUTADO;48;2
918224070163.4;P.S.: ARTE POP, 15 MADRID;PROGRAMADO;48;1
918224070163.9;P.S.: ARTE POP, 15 MADRID;PROGRAMADO;48;1
918223120075.1;P.S.: CINCO MERCAMADRID, 2 MADRID;PROGRAMADO;47;4
918224010167.9;P.S.: UZP0103 ENSANCHE VALLECAS, 513 MADRID;EJECUTABLE;47;2
918224020056.1;P.S.: EMBAJADORES, 232 MADRID;EJECUTABLE;45;
918221110334.9;P.S.: EMBAJADORES, 232 MADRID;EJECUTABLE;45;5
918221110334.2;P.S.: EMBAJADORES, 232 MADRID;EJECUTABLE;45;5
918221110334.1;P.S.: EMBAJADORES, 232 MADRID;REPROGRAMADO;45;5
918224080107.1;P.S.: PICO CLAVERO, 6 MADRID;EJECUTADO;44;2
918223040015.4;P.S.: VILLAVERDE A VALLECAS, 260 MADRID;EJECUTABLE;44;15
918223040015.2;P.S.: VILLAVERDE A VALLECAS, 260 MADRID;EJECUTABLE;44;15
918224040095.1;P.S.: ESPERANZA GARCIA, 7 MADRID;REPROGRAMADO;43;5
918224050278.1;P.S.: JOSE DEL PINO, 0061 MADRID;REPROGRAMAR;42;8
918223040369.1;P.S.: FERNANDEZ SHAW, 9 MADRID;REPROGRAMAR;42;3
918224050258.2;P.S.: PROV LOS BERROCALES 88, 3 MADRID;EJECUTABLE;40;8
918224050258.1;P.S.: PROV LOS BERROCALES 88, 3 MADRID;REPROGRAMAR;40;8
918224110444.1;P.S.: BARBARA DE BRAGANZA, 0009 MADRID;EJECUTADO;39;4
918223090050.1;P.S.: ILUSTRACION, 13 MADRID;EJECUTADO;39;21
918224060328.1;P.S.: CERRO MILANO, 415 MADRID;PROGRAMADO;36;38
918224090191.9;P.S.: CERRO DEL CAMPO, 11 MADRID;EJECUTABLE;34;1
918224060069.1;P.S.: COCHERON DE LA VILLA, 15 MADRID;REPROGRAMADO;27;2
918222080101.1;P.S.: SIERRA ARLA, 5 MADRID;REPROGRAMAR;27;3
918224090345.1;P.S.: RICARDO GOIZUETA, 25 MADRID;REPROGRAMADO;26;2
918224080092.1;P.S.: JAIME EL CONQUISTADOR, 2 MADRID;EJECUTADO;26;4
918224040012.1;P.F.: SANCHEZ BARCAIZTEGUI, 36 MADRID;EJECUTADO;26;6
918223080152.1;P.S.: VILLA VALLECAS MERCAMADRI, 20 MADRID;REPROGRAMAR;25;6
918224050283.1;P.S.: UZP0103 ENSANCHE VALLECAS, 29 MADRID;REPROGRAMAR;24;2
918221060357.1;P.S.: DE MORATALAZ, 21 MADRID;REPROGRAMAR;24;11
918224020192.1;P.S.: UZP0103 ENSANCHE VALLECAS, 270 MADRID;REPROGRAMAR;23;5
918223060046.4;P.S.: UNO MERCAMADRID, 2 MADRID;EJECUTABLE;23;17
918223060046.1;P.S.: UNO MERCAMADRID, 2 MADRID;REPROGRAMAR;23;17
918124110056.1;P.S.: AMOR DE DIOS, 6 MADRID;EJECUTABLE;22;
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1
918224030165.2;P.S.: FERROCARRIL DEL TAJUÑA, 10 MADRID;EJECUTABLE;19;1
918222090511.1;P.S.: PALOS DE LA FRONTERA, 40 MADRID;REPROGRAMADO;19;25
918224060331.1;P.S.: PIROTECNIA, 83 MADRID;REPROGRAMADO;18;
918222040071.2;P.S.: MIGUEL DELIBES, 46 MADRID;PROGRAMADO;18;11
918222040071.1;P.S.: MIGUEL DELIBES, 46 MADRID;EJECUTADO;18;11
918222060468.1;P.S.: PUERTO DE BALBARÁN, 0 MADRID;REPROGRAMAR;17;
918224080239.1;P.S.: CERRO MILANO, 357 MADRID;REPROGRAMAR;16;3
918224050074.1;P.S.: AURORA IGLESIAS, 13 MADRID;REPROGRAMADO;16;8
918124100405.1;P.S.: CRISTINO MARTOS, 4 MADRID;PROGRAMADO;15;1
918224100116.1;P.S.: GALLEGOS, 76 MADRID;PROGRAMADO;15;
918223100081.1;P.S.: UZP0203 LOS AHIJONES, 6011 MADRID;REPROGRAMADO;15;
918224090249.1;P.S.: CERRO DEL TESORO, 90 MADRID;REPROGRAMAR;14;4
918223100214.1;P.S.: ANTONIO LOPEZ, 191 MADRID;REPROGRAMADO;13;
918222030078.9;P.S.: ANTONIO LOPEZ, 193 MADRID;EJECUTABLE;13;1
918222030078.2;P.S.: ANTONIO LOPEZ, 193 MADRID;EJECUTABLE;13;1
918222030078.1;P.S.: ANTONIO LOPEZ, 193 MADRID;REPROGRAMADO;13;1
918224120147.1;P.S.: MONTE IGUELDO, 109 MADRID;REPROGRAMAR;12;3
918224090021.1;P.S.: UCEDA, 42 MADRID;REPROGRAMAR;12;1
918223050409.1;P.S.: GARGANTA DE LOS MONTES, 1 MADRID;REPROGRAMADO;11;11
918223030394.1;P.S.: SAN ISIDRO LABRADOR, 20 MADRID;EJECUTADO;11;3
918220030047.1;P.S.: CIUDAD DE BARCELONA, 2 MADRID;REPROGRAMADO;11;9
918224080230.1;P.S.: GRAN VIA DEL SURESTE, 49 MADRID;EJECUTADO;10;1
918224120302.1;P.S.: BARIO, 2 MADRID;REPROGRAMAR;8;1
918224110241.1;P.S.: ENRIQUE GRANADOS, 0006 MADRID;REPROGRAMAR;7;
918224080187.1;P.S.: CARMEN, 10 MADRID;REPROGRAMADO;7;
918223010115.1;P.S.: CARMEN, 10 MADRID;EJECUTABLE;7;2
918224110121.1;P.S.: Polígono: 5 Parcela: 4, MADRID;EJECUTABLE;6;4
918224070251.1;P.S.: INDALECIO PRIETO, 2 MADRID;EJECUTABLE;6;18
918224050257.1;P.S.: PROV LOS BERROCALES 81, 10 MADRID;REPROGRAMAR;6;4
918224050215.1;P.S.: MAYORAZGO, 2 MADRID;REPROGRAMADO;6;2
918223030264.1;P.S.: LA GRANJA SAN ILDEFONSO, 31 MADRID;REPROGRAMADO;6;9
918224120098.1;P.S.: CERRO DE LA ALCAZABA, 3 MADRID;REPROGRAMAR;5;
918224110188.1;P.S.: PUERTO DE CANFRANC, 7 MADRID;REPROGRAMAR;5;
918224080008.1;P.S.: PUERTA DE MOROS, 0008 MADRID;EJECUTADO;5;
918222030371.1;P.S.: CORREGIDOR LICENCIADO ANTO 0 MADRID;PROGRAMADO;5;
918224110372.4;P.S.: PABLO CASALS, 1 MADRID;EJECUTABLE;4;2
918223110096.1;P.S.: TOMAS BRETON, 57 MADRID;REPROGRAMAR;4;4
918223010355.1;P.S.: PUERTO DE MAGDALENA, 9 MADRID;REPROGRAMAR;4;11
918224050192.1;P.S.: PROV LOS BERROCALES 67, 39 MADRID;PROGRAMADO;3;2
918224100325.1;P.S.: EL REAL DE SAN VICENTE, 21 MADRID;REPROGRAMAR;3;4
918224070323.1;P.S.: COMERCIO, 14 MADRID;REPROGRAMAR;3;2
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;REPROGRAMAR;3;3
918224010389.1;P.S.: IGNACIO SANTOS VIÑUELAS, 18 MADRID;REPROGRAMAR;3;7
918223110135.1;P.S.: LARRA, 0009 MADRID;REPROGRAMAR;3;2
918224100206.1;P.S.: CORDEL DE PAVONES, 2 MADRID;REPROGRAMAR;2;
918224020299.1;P.S.: PEÑARANDA DE BRACAMONTE, 54 MADRID;EJECUTABLE;2;2
918224060090.1;P.S.: RONDA DEL SUR, 000 MADRID;EJECUTABLE;1;
918224100210.1;P.S.: LA GAVIA, 93 MADRID;EJECUTABLE;1;
918223070303.1;P.S.: UZP0202 LOS CERROS, 342 MADRID;EJECUTABLE;1;2
918224050199.1;P.S.: PROV AHIJONES-BERROCALES2, 218 MADRID;PROGRAMADO;1;8
918224030385.1;P.S.: A3, 0 MADRID;REPROGRAMAR;1;13
918224120259.1;P.S.: MENDEZ ALVARO, 36 MADRID;PEND.INST.PART;0;2
918224090092.1;P.S.: SECO, 13 MADRID;PEND.INST.PART;0;1
918224070044.9;P.S.: ANTONIO GADES, 84 MADRID;STOP;0;4
918224070044.2;P.S.: ANTONIO GADES, 84 MADRID;STOP;0;4
918223120121.2;P.S.: ANTONIO LOPEZ, 244 MADRID;STOP;0;33
918223080177.2;P.S.: COMUNIDADES, 28 MADRID;PEND.INST.PART;0;5
918223050033.3;P.S.: PLANETARIO, 6 MADRID;STOP;0;4
918222100464.9;P.S.: CASA DE TILLY, 33 MADRID;STOP;0;18
918222100464.2;P.S.: CASA DE TILLY, 33 MADRID;STOP;0;18
918225010455.1;RET.: DE SEGOVIA, 000 MADRID;EJECUTABLE;0;
918225010417.1;P.S.: TANTALO, 9 MADRID;NO PROGRAMABLE;0;1
918225010277.1;RET.: LAGARTERA, 12 MADRID;NO PROGRAMABLE;0;
918225010204.1;RET.: HACIENDA DE PAVONES, 300 MADRID;NO PROGRAMABLE;0;
918225010129.1;P.S.: PICO MONCAYO, 8 MADRID;NO PROGRAMABLE;0;5
