Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones;SGT Plazo Legal Ejec.
918225050196.1;P.S.: HACHERO, 17 MADRID;REPROGRAMADO;8;5;30
918225050264.1;P.S.: PUERTA DEL SOL, 0011 MADRID;REPROGRAMADO;4;7;5
918225050272.1;P.S.: POSTIGO DE SAN MARTIN, 0005 MADRID;REPROGRAMAR;60;1;30
918225050377.1;P.S.: CONCILIACION, 7 MADRID;REPROGRAMAR;43;3;30
918225060036.1;P.S.: GALLEGOS, 72 MADRID;EJECUTABLE;1;4;30
918225060220.1;P.S.: PICO DEL SALTADERO, 6 MADRID;REPROGRAMAR;22;7;30
918225080007.1;P.S.: SIERRA DE MEIRA, 29 MADRID;REPROGRAMAR;39;;30
918225080025.1;P.S.: BATALLA DE SALAMINA, 21 MADRID;REPROGRAMADO;0;3;30
918225090092.1;P.S.: BUENDIA, 25 MADRID;EJECUTABLE;0;3;30
918225090363.1;P.S.: LARDERO, 11 MADRID;EJECUTABLE;0;4;30
